study_hours,gpa
23.7,3.64
57.1,4.0
44.5,4.0
36.7,4.0
11.0,2.79
11.0,2.96
5.4,2.35
52.2,4.0
36.9,4.0
43.1,4.0
3.2,2.14
58.3,4.0
50.3,4.0
14.3,3.25
12.5,2.8
12.6,2.93
19.6,3.4
32.4,3.96
27.1,3.7
18.9,3.44
37.5,3.99
10.1,2.82
18.9,3.38
23.2,3.64
28.5,3.89
47.5,4.0
13.6,2.87
31.8,4.0
36.4,4.0
4.7,2.37
37.2,4.0
11.9,2.97
5.8,2.68
57.0,4.0
58.0,4.0
48.9,4.0
19.7,3.37
7.7,2.79
41.7,4.0
27.5,3.94
9.1,2.65
30.7,3.98
4.0,2.54
54.7,4.0
17.0,3.12
40.4,3.95
20.1,3.39
32.2,4.0
33.7,4.0
12.7,3.01
58.2,4.0
47.0,4.0
56.5,4.0
53.9,4.0
36.7,4.0
55.5,4.0
7.1,2.39
13.4,3.03
4.6,2.3
20.9,3.55
24.5,3.69
17.7,3.19
50.1,4.0
22.7,3.43
18.3,3.32
33.5,4.0
10.2,2.72
48.5,4.0
6.3,2.51
59.2,4.0
46.8,4.0
13.5,2.93
2.3,2.22
49.3,4.0
43.0,4.0
44.3,4.0
46.7,4.0
6.3,2.6
22.8,3.55
8.7,2.72
52.1,4.0
38.2,4.0
21.2,3.42
5.7,2.46
20.0,3.39
20.9,3.19
44.3,4.0
39.0,4.0
53.5,4.0
29.4,3.82
8.9,2.83
43.4,4.0
46.1,4.0
34.6,4.0
46.7,4.0
30.6,3.78
32.3,3.76
26.8,3.77
3.5,2.28
8.3,2.54
3.8,2.32
38.9,4.0
20.2,3.63
31.5,4.0
54.6,4.0
16.5,3.4
25.8,3.71
45.8,4.0
15.3,3.34
6.5,2.65
18.8,3.23
11.4,2.9
55.9,4.0
48.9,4.0
38.7,4.0
52.5,4.0
48.6,4.0
12.8,3.08
53.8,4.0
33.3,3.93
48.8,4.0
54.0,4.0
20.4,3.45
8.4,2.62
15.2,3.19
26.8,3.73
49.4,4.0
51.9,4.0
2.4,2.22
31.6,4.0
26.2,3.78
14.9,3.02
9.0,2.77
21.6,3.59
56.7,4.0
20.7,3.52
32.1,3.87
42.8,4.0
23.1,3.48
58.4,4.0
57.8,4.0
16.6,3.24
30.8,3.93
19.5,3.28
18.5,3.42
4.1,2.22
37.4,4.0
31.2,3.77
5.0,2.4
18.2,3.33
54.7,4.0
15.9,3.15
10.4,2.98
30.4,3.82
59.2,4.0
16.0,3.07
41.0,4.0
46.2,4.0
15.8,2.89
44.2,4.0
23.3,3.65
38.7,4.0
38.7,4.0
33.1,3.91
7.2,2.65
50.4,4.0
20.6,3.59
12.8,3.04
4.4,2.48
36.3,4.0
41.3,4.0
3.0,2.28
31.7,3.98
15.1,3.1
39.4,4.0
12.1,3.22
42.1,4.0
24.4,3.6
56.3,4.0
10.0,2.78
21.8,3.27
8.6,2.61
55.6,4.0
52.9,4.0
17.0,3.26
40.3,4.0
49.4,4.0
34.2,3.99
32.7,4.0
16.0,2.94
7.4,2.68
54.0,4.0
54.2,4.0
38.7,4.0
21.7,3.55
22.3,3.48
44.1,4.0
54.0,4.0
53.5,4.0
47.2,4.0
39.2,4.0
6.9,2.52
11.4,3.02
54.1,4.0
37.2,4.0
2.5,2.24
7.9,2.74
40.5,4.0
2.3,2.4
11.3,2.86
33.8,3.97
42.1,4.0
39.8,4.0
15.0,3.19
43.3,4.0
15.8,3.08
20.9,3.57
45.3,4.0
39.7,4.0
51.3,4.0
40.1,4.0
35.0,3.89
7.4,2.44
23.3,3.76
17.4,3.36
16.2,3.2
58.4,4.0
24.8,3.52
53.7,4.0
38.6,4.0
48.1,4.0
31.2,4.0
35.5,4.0
30.6,3.92
13.3,2.95
43.9,4.0
18.3,3.55
3.4,2.53
39.4,4.0
12.3,2.92
56.5,4.0
57.3,4.0
55.1,4.0
23.5,3.72
2.9,2.12
55.8,4.0
26.8,3.72
58.1,4.0
57.9,4.0
51.5,4.0
19.1,3.47
24.3,3.64
51.4,4.0
20.4,3.28
11.8,2.91
34.3,4.0
56.3,4.0
42.4,4.0
35.1,4.0
7.6,2.64
37.7,3.8
59.4,4.0
10.1,2.81
32.1,4.0
52.9,4.0
45.0,4.0
42.4,4.0
42.7,4.0
22.9,3.87
19.0,3.38
48.9,4.0
49.0,4.0
52.3,4.0
55.0,4.0
31.7,3.86
31.1,3.84
48.3,4.0
39.7,4.0
42.7,4.0
48.2,4.0
53.6,4.0
21.6,3.68
23.8,3.29
7.5,2.79
35.5,4.0
4.1,2.17
29.0,3.79
33.5,3.95
18.6,3.18
36.3,3.99
3.8,2.26
4.2,2.63
49.7,4.0
22.9,3.72
9.4,2.87
32.3,3.82
46.7,4.0
14.5,3.17
38.1,3.99
7.0,2.71
5.0,2.45
32.8,3.93
33.4,4.0
39.0,4.0
44.1,4.0
58.6,4.0
31.9,3.81
20.7,3.53
48.1,4.0
17.7,3.26
27.5,3.81
6.6,2.44
3.5,2.48
57.8,4.0
50.5,4.0
42.4,4.0
25.7,3.61
12.1,2.79
11.1,2.71
16.5,3.3
33.9,3.85
43.4,4.0
40.3,3.94
18.2,3.53
57.4,4.0
44.8,4.0
34.2,3.95
37.5,4.0
26.3,3.72
16.4,3.35
22.6,3.57
46.0,4.0
2.8,2.28
8.7,2.74
4.7,2.5
4.4,2.23
51.6,4.0
42.8,4.0
29.5,3.87
7.7,2.65
30.5,3.89
29.5,3.89
12.0,2.9
27.2,3.66
25.1,3.69
37.7,4.0
38.8,4.0
4.6,2.25
23.7,3.73
38.3,4.0
31.2,3.94
51.7,4.0
40.2,4.0
11.5,3.05
6.1,2.34
39.3,4.0
3.5,2.3
36.0,4.0
56.5,4.0
35.4,3.97
24.5,3.66
39.3,4.0
28.6,3.74
33.6,3.83
56.6,4.0
24.4,3.47
57.7,4.0
54.5,4.0
13.4,2.93
6.0,2.87
7.8,2.74
3.1,2.36
7.5,2.56
41.6,4.0
6.1,2.49
20.5,3.46
51.0,4.0
3.3,2.35
49.2,4.0
18.3,3.25
8.9,2.75
42.4,4.0
38.5,4.0
52.9,4.0
44.6,4.0
48.6,4.0
18.4,3.41
12.3,3.09
45.5,4.0
48.8,4.0
59.4,4.0
25.9,3.67
23.6,3.59
47.0,4.0
21.8,3.53
56.0,4.0
51.8,4.0
26.9,3.82
45.6,4.0
45.8,4.0
8.0,2.79
54.3,4.0
31.3,3.91
49.9,4.0
20.6,3.5
53.9,4.0
24.6,3.68
2.6,2.15
54.5,4.0
7.3,2.77
20.5,3.44
57.1,4.0
57.1,4.0
35.3,4.0
38.6,4.0
28.0,3.73
19.0,3.38
21.1,3.42
41.0,4.0
45.6,4.0
47.9,4.0
47.8,4.0
7.3,2.8
30.7,3.79
5.3,2.48
33.9,3.95
27.6,3.95
53.5,4.0
22.4,3.66
8.8,2.57
10.3,2.88
46.2,4.0
37.9,4.0
7.9,2.81
6.9,2.56
42.7,4.0
6.2,2.85
49.7,4.0
43.0,4.0
6.7,2.78
6.9,2.81
59.2,4.0
23.7,3.55
23.5,3.56
49.1,4.0
56.9,4.0
59.2,4.0
45.7,4.0
23.8,3.6
6.8,2.64
47.1,4.0
34.4,3.9
26.6,3.85
54.6,4.0
8.4,2.72
30.6,3.97
2.7,2.17
29.2,3.88
5.3,2.52
8.9,2.82
8.8,2.79
39.7,4.0
45.3,4.0
35.8,4.0
57.8,4.0
23.7,3.54
18.6,3.27
52.4,4.0
15.0,3.31
57.9,4.0
2.7,2.21
58.3,4.0
4.5,2.38
53.7,4.0
32.6,3.99
59.6,4.0
6.3,2.76
34.1,4.0
58.2,4.0
32.3,3.91
38.5,4.0
42.4,4.0
28.4,3.88
38.4,4.0
35.9,4.0
54.3,4.0
4.6,2.29
18.3,3.24
57.1,4.0
53.6,4.0
28.4,3.75
38.0,4.0
